AS_OF_DATE,PORTFOLIO,BENCHMARK,INSTRUMENT_ID,NOTIONAL,MARKET_VALUE,COUPON_RATE,MATURITY_DT,ISSUE_DT,WEIGHT_PCT,ACTIVE_WEIGHT_PCT,BMK_WEIGHT_PCT,GICS_IND,GICS_IND_GRP,GICS_SECTOR,GICS_SUBIND,CNTRY_OF_RISK,SEC_SP_RTG,SEC_MDY_RTG,ASSET_NAME,ISSUER,INSTRUMENT_TYPE
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000001,151641432,152430009.3,8.58,02/10/2031,02/09/2024,0.01939,0.0081,0.01129,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,USA,B-,B2,Xltimate Eoftwa Demo Sec,Xltimate Eoftwa Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000002,152824594,152351396.6,8.59,02/15/2029,02/15/2022,0.01938,0.0021,0.01728,Banks,Banks,Financials,Diversified Banks,USA,B-,B2,ATHEYAHEALTH I Demo Sec,ATHEYAHEALTH I Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000003,148405996,148656600.1,9.19,02/01/2028,02/01/2021,0.01891,0.0126,0.00631,Automobiles,Automobiles & Components,Consumer Discretionary,Automobile Manufacturers,USA,B,B1,PeraAon Xorp Demo Sec,PeraAon Xorp Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000004,145360486,145354867,9.91,03/30/2029,05/15/2018,0.01849,-0.0063,0.02479,Beverages,Food Beverage & Tobacco,Consumer Staples,Soft Drinks,USA,NR,NR,ClAud SoftBare Demo Sec,ClAud SoftBare Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000005,133681254,133641576,8.59,03/01/2029,05/31/2024,0.017,0.0028,0.0142,Trading Companies & Distributors,Capital Goods,Industrials,Trading Companies & Distributors,USA,NR,NR,McLfee LLC TL B Demo Sec,McLfee LLC TL B Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000006,124663166,124443891,9.19,05/12/2028,05/14/2021,0.01583,0.0157,0.00013,IT Services,Software & Services,Information Technology,IT Consulting & Other Services,USA,B,B2,ADLIED UNIVWRSAC Demo Sec,ADLIED UNIVWRSAC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000007,122002814,122399961,8.09,10/23/2028,03/27/2024,0.01557,0.0017,0.01387,Food & Staples Retailing,Food & Staples Retailing,Consumer Staples,Food Retail,USA,B+,B1,MedlOne BorrRwer LP Demo Sec,MedlOne BorrRwer LP Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000008,121917579,121849672.2,9.59,05/03/2028,05/03/2023,0.0155,0.0155,0,Construction Materials,Materials,Materials,Construction Materials,USA,B,B1,MH SUB I LLC TL Demo Sec,MH SUB I LLC TL Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000009,113214096,113438114.2,9.09,02/24/2028,02/24/2023,0.01443,-0.0042,0.01863,Airlines,Transportation,Industrials,Airlines,USA,B,B2,SedgCick HoldSn Demo Sec,SedgCick HoldSn Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000010,112683720,112730600,9.21,03/06/2028,11/24/2021,0.01434,-0.007,0.02134,Capital Markets,Diversified Financials,Financials,Financial Exchanges & Data,USA,NR,B1,BAss Pro Kroup LLC Demo Sec,BAss Pro Kroup LLC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000011,109587162,109900543.1,8.33,01/31/2031,01/31/2024,0.01398,-0.0012,0.01518,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate,Retail REITs,USA,BB,Ba3,Qoost Dewco BorroweS LLC Demo Sec,Qoost Dewco BorroweS LLC Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000012,106298463,106520197.3,8.18,12/15/2027,01/22/2024,0.01355,0.0113,0.00225,Banks,Banks,Financials,Diversified Banks,USA,NR,B2,IRB HoldMng CorporatRon Demo Sec,IRB HoldMng CorporatRon Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000013,105648953,106048521.2,8.58,06/20/2030,01/26/2024,0.01349,-0.0045,0.01799,Insurance,Insurance,Financials,Life & Health Insurance,USA,NR,NR,Hub IGternational LimiOed Demo Sec,Hub IGternational LimiOed Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000014,105212387,104947943.5,7.09,09/20/2030,,0.01335,-0.001,0.01435,Insurance,Insurance,Financials,Life & Health Insurance,USA,NR,Ba2,New Red FinanRe Demo Sec,New Red FinanRe Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000015,101618397,101803435.8,7.58,11/25/2030,,0.01295,0.008,0.00495,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate,Office REITs,USA,BBB-,Ba1,LTARS GTOUP Demo Sec,LTARS GTOUP Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000016,102296425,99366442.36,9.43,10/01/2027,10/01/2020,0.01264,-0.0012,0.01384,Tobacco,Food Beverage & Tobacco,Consumer Staples,Tobacco,USA,B+,B2,MIVANO ACOUISITION CWRP Demo Sec,MIVANO ACOUISITION CWRP Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000017,98647954,99130604.28,8.08,08/24/2028,03/22/2024,0.01261,0.0116,0.00101,Industrial Conglomerates,Capital Goods,Industrials,Industrial Conglomerates,USA,NR,Ba3,TranRdigm Inc TL Demo Sec,TranRdigm Inc TL Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000018,98186124,98580315.44,8.84,02/14/2031,02/16/2024,0.01254,-0.0015,0.01404,Specialty Retail,Retailing,Consumer Discretionary,Specialty Stores,USA,B,B2,AssuKedPartners Mnc. Demo Sec,AssuKedPartners Mnc. Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000019,97068622,96850836.22,7.19,08/01/2027,08/01/2020,0.01232,-0.0063,0.01862,Food Products,Food Beverage & Tobacco,Consumer Staples,Packaged Foods & Meats,USA,BB+,BAA3,ElanNo Knimal HeaVth IncorporatSd Demo Sec,ElanNo Knimal HeaVth IncorporatSd Demo Corp,Senior Loan
6/30/2024,bond_demo_portfolio,bond_demo_bmk,LX000020,96293891,96614998.15,7.59,07/29/2030,01/30/2024,0.01229,0.0007,0.01159,Food & Staples Retailing,Food & Staples Retailing,Consumer Staples,Food Retail,GBR,BBB-,Baa3,Aitadel SecuCities LP Demo Sec,Aitadel SecuCities LP Demo Corp,Senior Loan
