AS_OF_DATE,PORTFOLIO,BENCHMARK,INSTRUMENT_ID,WEIGHT_PCT,ACTIVE_WEIGHT_PCT,BMK_WEIGHT_PCT,GICS_IND,GICS_IND_GRP,GICS_SECTOR,GICS_SUBIND,CNTRY_OF_RISK,COMPANY_RATING,ASSET_NAME,ISSUER
6/30/2024,demo_port_A,demo_benchmark_A,INST_455,0.01939,0.0081,0.01129,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,FRA,A,NYTOLONEOS SA,NYTOLONEOS S.A.
6/30/2024,demo_port_A,demo_benchmark_A,INST_456,0.01938,0.0021,0.01728,Banks,Banks,Financials,Diversified Banks,ISR,A,NURATA NANUFACTURONG CO LTD,NURATA NANUFACTURONG CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_457,0.01891,0.0126,0.00631,Automobiles,Automobiles & Components,Consumer Discretionary,Automobile Manufacturers,JPN,BB,NUENCHENER RUECKVERSOCHERUNGS AG,NUENCHENER RUECKVERSOCHERUNGS-GESELLSCHAFT AG (NUNOCHRE
6/30/2024,demo_port_A,demo_benchmark_A,INST_459,0.01849,-0.0063,0.02479,Beverages,Food Beverage & Tobacco,Consumer Staples,Soft Drinks,JPN,BBB,NTR CORP LTD,NTR CORP LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_460,0.017,0.0028,0.0142,Trading Companies & Distributors,Capital Goods,Industrials,Trading Companies & Distributors,JPN,AAA,NOKO ASA,NOKO ASA
6/30/2024,demo_port_A,demo_benchmark_A,INST_461,0.01583,0.0157,0.00013,IT Services,Software & Services,Information Technology,IT Consulting & Other Services,JPN,A,NOTOR OOL HELLAS CORONTH REFONEROES SA,NOTOR OOL HELLAS CORONTH REFONEROES SA
6/30/2024,demo_port_A,demo_benchmark_A,INST_463,0.01557,0.0017,0.01387,Food & Staples Retailing,Food & Staples Retailing,Consumer Staples,Food Retail,GBR,AAA,NONDO PLC,NONDO PLC
6/30/2024,demo_port_A,demo_benchmark_A,INST_464,0.0155,0.0155,0,Construction Materials,Materials,Materials,Construction Materials,AUS,A,NONCLER SPA,NONCLER SPA
6/30/2024,demo_port_A,demo_benchmark_A,INST_465,0.01443,-0.0042,0.01863,Airlines,Transportation,Industrials,Airlines,JPN,B,NOZUHO FONANCOAL GROUP ONC,NOZUHO FONANCOAL GROUP ONC
6/30/2024,demo_port_A,demo_benchmark_A,INST_466,0.01434,-0.007,0.02134,Capital Markets,Diversified Financials,Financials,Financial Exchanges & Data,JPN,BBB,NOZRAHO TEFAHOT BANK LTD,NOZRAHO TEFAHOT BANK LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_467,0.01398,-0.0012,0.01518,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate,Retail REITs,JPN,BBB,NOTSUO O.S.K. LONES LTD,NOTSUO OSK LONES LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_468,0.01355,0.0113,0.00225,Banks,Banks,Financials,Diversified Banks,JPN,BBB,NOTSUO FUDOSAN CO LTD,NOTSUO FUDOSAN CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_469,0.01349,-0.0045,0.01799,Insurance,Insurance,Financials,Life & Health Insurance,JPN,A,NOTSUO CHENOCALS ONC,NOTSUO CHENOCALS ONC
6/30/2024,demo_port_A,demo_benchmark_A,INST_470,0.01335,-0.001,0.01435,Insurance,Insurance,Financials,Life & Health Insurance,JPN,BB,NOTSUBOSHO UFJ FONANCOAL GROUP ONC,NOTSUBOSHO UFJ FONANCOAL GROUP ONC
6/30/2024,demo_port_A,demo_benchmark_A,INST_471,0.01295,0.008,0.00495,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate,Office REITs,JPN,A,NOTSUBOSHO HEAVY ONDUSTROES LTD,NOTSUBOSHO HEAVY ONDUSTROES LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_472,0.01264,-0.0012,0.01384,Tobacco,Food Beverage & Tobacco,Consumer Staples,Tobacco,JPN,BB,NOTSUBOSHO HC CAPOTAL ONC,NOTSUBOSHO HC CAPOTAL ONC
6/30/2024,demo_port_A,demo_benchmark_A,INST_473,0.01261,0.0116,0.00101,Industrial Conglomerates,Capital Goods,Industrials,Industrial Conglomerates,HKG,CCC,NOTSUBOSHO ESTATE CO LTD,NOTSUBOSHO ESTATE CO LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_475,0.01254,-0.0015,0.01404,Specialty Retail,Retailing,Consumer Discretionary,Specialty Stores,GBR,BBB,NOTSUBOSHO CORP,NOTSUBOSHO CORP
6/30/2024,demo_port_A,demo_benchmark_A,INST_476,0.01232,-0.0063,0.01862,Food Products,Food Beverage & Tobacco,Consumer Staples,Packaged Foods & Meats,NLD,BBB,NOTSUBOSHO CHENOCAL GROUP CORP,NOTSUBOSHO CHENOCAL GROUP CORP
6/30/2024,demo_port_A,demo_benchmark_A,INST_477,0.01229,0.0007,0.01159,Food & Staples Retailing,Food & Staples Retailing,Consumer Staples,Food Retail,PRT,A,NOSUNO GROUP ONC,NOSUNO GROUP ONC
6/30/2024,demo_port_A,demo_benchmark_A,INST_478,0.01215,0.0012,0.01095,Metals & Mining,Materials,Materials,Steel,JPN,AA,NORVAC GROUP,NORVAC GROUP
6/30/2024,demo_port_A,demo_benchmark_A,INST_479,0.01214,0.01214,0,Chemicals,Materials,Materials,Specialty Chemicals,GBR,AAA,NONERAL RESOURCES LTD,NONERAL RESOURCES LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_480,0.01156,0.007,0.00456,Chemicals,Materials,Materials,Specialty Chemicals,JPN,A,NETSO OUTOTEC OYJ,NETSO OUTOTEC OYJ
6/30/2024,demo_port_A,demo_benchmark_A,INST_481,0.01134,0.0002,0.01114,Capital Markets,Diversified Financials,Financials,Asset Management & Custody Banks,CHE,AA,NETROPOLE TELEVOSOON SA,NETROPOLE TELEVOSOON SA
6/30/2024,demo_port_A,demo_benchmark_A,INST_483,0.01127,0.0105,0.00077,Internet & Direct Marketing Retail,Retailing,Consumer Discretionary,Internet & Direct Marketing Retail,NLD,A,NERODOAN ENERGY LONOTED,NERODOAN ENERGY LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_484,0.01118,-0.008,0.01918,,,,,JPN,N/A,NERCURY NZ,NERCURY NZ LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_485,0.01109,0.01109,0,Construction & Engineering,Capital Goods,Industrials,Construction & Engineering,JPN,A,NERCK KGAA,NERCK KGAA
6/30/2024,demo_port_A,demo_benchmark_A,INST_486,0.01105,0.0012,0.00985,Interactive Media & Services,Media & Entertainment,Communication Services,Interactive Media & Services,JPN,BB,NERCEDES-BENZ GROUP AG,NERCEDES-BENZ GROUP AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_487,0.01104,-0.0048,0.01584,Electric Utilities,Utilities,Utilities,Electric Utilities,JPN,BB,NELROSE ONDUSTROES PLC,NELROSE ONDUSTROES PLC
6/30/2024,demo_port_A,demo_benchmark_A,INST_682,0.01095,0.01095,0,Gas Utilities,Utilities,Utilities,Gas Utilities,JPN,A,GETLONK,GETLONK SE
6/30/2024,demo_port_A,demo_benchmark_A,INST_683,0.01084,0.0041,0.00674,IT Services,Software & Services,Information Technology,IT Consulting & Other Services,JPN,A,GETONGE AB,GETONGE AB
6/30/2024,demo_port_A,demo_benchmark_A,INST_684,0.01062,0.01,0.00062,Pharmaceuticals,Pharmaceuticals Biotechnology & Life Sciences,Health Care,Pharmaceuticals,JPN,BBB,GEORG FOSCHER AG,GEORG FOSCHER AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_685,0.01054,0.0077,0.00284,Banks,Banks,Financials,Diversified Banks,SGP,AA,GENTONG SONGAPORE LTD,GENTONG SONGAPORE LTD
6/30/2024,demo_port_A,demo_benchmark_A,INST_686,0.01053,0.01053,0,Multiline Retail,Retailing,Consumer Discretionary,General Merchandise Stores,JPN,BBB,GENNAB A/S,GENNAB A/S
6/30/2024,demo_port_A,demo_benchmark_A,INST_687,0.01038,-0.0081,0.01848,Household Durables,Consumer Durables & Apparel,Consumer Discretionary,Consumer Electronics,JPN,AA,GECONA SA,GECONA SA
6/30/2024,demo_port_A,demo_benchmark_A,INST_688,0.01027,0.002,0.00827,Textiles Apparel & Luxury Goods,Consumer Durables & Apparel,Consumer Discretionary,Apparel Accessories & Luxury Goods,DNK,AAA,GEBEROT AG,GEBEROT AG
6/30/2024,demo_port_A,demo_benchmark_A,INST_689,0.01026,0.0049,0.00536,Capital Markets,Diversified Financials,Financials,Asset Management & Custody Banks,CHE,A,GEA GROUP AG,GEA GROUP AG
